node_id,longitude,latitude,girvan_newman_community
2487649312,12.3185688,45.4453627,10
10575119399,12.3371672,45.4333426,2
10575119401,12.3371432,45.4333909,2
10575119402,12.3369533,45.4337517,2
10575119403,12.3370986,45.4334849,2
10575119404,12.3370671,45.4335442,2
10575119406,12.3372881,45.4330992,2
8154186798,12.3216668,45.4376234,3
8154186799,12.3216593,45.4375902,3
8154186801,12.3216805,45.4376821,3
8154186802,12.3216178,45.437689,3
8154186803,12.3216731,45.4376503,3
8154186804,12.3216105,45.4376567,3
8154186800,12.3215971,45.4375978,3
8154186797,12.3215908,45.4375702,3
4803920951,12.3299148,45.4367275,11
4803920955,12.3296696,45.4364943,11
4892525638,12.3310078,45.4404234,11
5476222024,12.3213318,45.4378205,3
2487649355,12.3195564,45.4457315,10
2487649375,12.3198796,45.4459686,10
1077050612,12.323698,45.4430669,10
8602584267,12.331796,45.4426721,6
3050505429,12.3623638,45.4287463,12
298026198,12.3359866,45.4440406,1
3050505432,12.3627235,45.4289692,12
3586703301,12.3561028,45.4289967,12
8084817116,12.319746,45.4354416,4
3586703302,12.3560523,45.4290481,12
4897539297,12.3303811,45.4401028,11
254805221,12.3336155,45.4320323,14
6466471153,12.3345644,45.4368214,2
6466471156,12.3348871,45.4365115,2
4803429620,12.3256139,45.432486,0
3586703306,12.3562061,45.4288928,12
8606614781,12.332014,45.442072,6
8145618680,12.3183852,45.4447992,10
8083735871,12.3269042,45.4416851,11
8074921350,12.3576616,45.432196,8
6335366536,12.3335052,45.4301317,5
11630708121,12.3089071,45.4424092,4
8074921373,12.3573347,45.4319927,8
8074921374,12.3573382,45.431934,8
10570794400,12.3467629,45.4354682,7
11630708126,12.3094557,45.442304,4
11630708130,12.3088785,45.4422568,4
49546664,12.3385775,45.4441496,1
11630708137,12.3089032,45.4420152,4
11630708138,12.3091199,45.4421123,4
11630708139,12.3091119,45.4423248,4
11630708152,12.3098658,45.441691,4
11630708160,12.3087754,45.4424663,4
248776130,12.3418048,45.4384458,9
7431128519,12.3088537,45.4423629,4
11630708166,12.3091359,45.4420568,4
27231707,12.3389336,45.4439547,1
27231715,12.3403708,45.4431517,1
27231718,12.3406765,45.442978,1
27231719,12.3411292,45.4427211,1
49546732,12.3377254,45.4435392,1
355567086,12.3412331,45.4357312,9
7431128564,12.3117185,45.4406988,4
11935188469,12.3317783,45.438348,13
10615784952,12.332148,45.4378346,13
10615784953,12.3322575,45.437763,13
10615784954,12.3325398,45.4377478,13
10615784956,12.3323439,45.4377001,13
10615784958,12.3330309,45.4372524,13
10615784959,12.3325061,45.4377542,13
10615784960,12.3323214,45.4378053,13
10615784957,12.332168,45.4378312,13
10615784962,12.3331258,45.4375698,13
10615784961,12.3326002,45.4370817,13
355567111,12.3415481,45.4362512,9
355567113,12.3419383,45.4362655,9
355567146,12.3452602,45.438644,9
355567148,12.3447967,45.4387146,9
4902225461,12.3336491,45.4390662,13
9844852295,12.3159273,45.4432857,4
1849034317,12.3213175,45.4477599,15
1913882192,12.3359277,45.4355326,2
1913882196,12.336239,45.4356839,2
3032942168,12.3359103,45.4383427,2
1913882203,12.334915,45.4369817,2
49546839,12.3377892,45.4436695,1
49546948,12.3382373,45.4435612,1
27363017,12.3378007,45.4396959,1
49546958,12.3378554,45.4437987,1
298026706,12.3335376,45.4426,6
2482210515,12.3248051,45.4429943,10
2482210516,12.321981,45.4430047,10
2482210518,12.3248627,45.4431456,10
2482210523,12.3231999,45.4431555,10
2482210524,12.3215944,45.4431855,10
1708754659,12.3394481,45.4377298,2
2482210537,12.3231471,45.4432108,10
1708754669,12.3391105,45.4378262,9
1708754670,12.3390212,45.4378495,9
11435181805,12.3209352,45.4435709,10
2482210539,12.323013,45.4432172,10
8013547251,12.3310703,45.4376289,13
8013547255,12.3311589,45.4369355,13
5144807166,12.3282301,45.4358494,3
3398708715,12.3186785,45.4407976,10
2482210596,12.3242326,45.4432592,10
8065910576,12.3210557,45.4441668,10
247858996,12.3388813,45.4349779,2
316442417,12.3417723,45.4419066,9
10587146052,12.3392606,45.4337126,2
2482210625,12.3230513,45.4433032,10
2482210633,12.3216161,45.4433092,10
11945345598,12.3125132,45.4408924,4
411731800,12.3366711,45.4373549,2
11842448383,12.3177327,45.4390383,4
3398708733,12.3182235,45.4410179,10
49547114,12.3383078,45.4436956,1
2482210666,12.3245063,45.4434152,10
49547117,12.3387738,45.4435893,1
3398708735,12.3182815,45.4410372,10
2482210671,12.3244593,45.443454,10
2482210675,12.3217706,45.4435051,10
11842448387,12.3175318,45.4391429,4
2482210678,12.3235477,45.4435061,10
2482210687,12.3236081,45.4435204,10
2482210688,12.3234739,45.4435267,10
2482210692,12.3235485,45.4435372,10
10587146133,12.3393413,45.4335671,2
10587146134,12.3394493,45.4333723,2
9885255577,12.3605712,45.4300886,12
2482210717,12.3220054,45.4435708,10
2482210722,12.3236501,45.4435798,10
2482210724,12.3236081,45.4435801,10
2482210728,12.3234437,45.4435896,10
2482210748,12.3218613,45.4436202,10
222070721,12.3426313,45.4381263,9
222070725,12.3429407,45.4386983,9
3297085381,12.3475709,45.4364152,7
3297085386,12.348505,45.4371659,7
4809531942,12.3318019,45.4453372,6
10575087579,12.3362901,45.4336712,2
2482210784,12.3220924,45.4439134,10
2482210794,12.3219383,45.443984,10
672466928,12.316922,45.4405017,4
2482210801,12.32223,45.4445174,10
672466930,12.3166186,45.4403629,4
4846061555,12.3298405,45.439241,11
4846061556,12.3296548,45.4393736,11
316442613,12.3420287,45.4422093,9
4212293019,12.3372883,45.4321834,2
8112211967,12.3368043,45.4333027,2
355928070,12.332287,45.4423274,6
355928072,12.3325317,45.4422071,6
4212293023,12.3379605,45.4324415,2
